date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-09-06,54.1204,159.6588,E,,-0.0922,-0.0707,-0.0746,-0.0547,-0.0441,-0.0563,-0.0452,-0.0137,0.0195,0.0172,0.0259,0.051,0.0462,0.0532,0.0411,0.0363,0.0234,0.0318,0.0069,-0.017,-0.0408,-0.0516,-0.0667,-0.0309,-0.0028,0.0036,0.0196,0.0231,0.0048
2000-09-06,54.1204,159.6588,N,,-0.1848,-0.1848,-0.1493,-0.0814,-0.0744,0.0684,-0.0545,0.0142,0.0224,0.0333,0.0191,0.0201,0.0189,0.0342,0.0277,0.005,-0.0079,-0.0202,-0.0048,-0.0117,-0.0157,-0.0021,-0.0027,-0.003,-0.0023,-0.0005,-0.0109,-0.0128,-0.0134
2000-09-06,54.1204,159.6588,NE,-0.1657,-0.168,-0.1795,-0.1982,-0.2031,-0.1111,-0.0935,-0.0222,-0.0342,-0.0225,-0.0319,-0.0268,-0.032,-0.0072,-0.0086,-0.0099,-0.0125,-0.0255,-0.0207,-0.0126,0.0024,0.0096,0.018,0.0281,0.0224,0.0206,0.0165,0.0145,0.0233,0.0291
2000-09-06,54.1204,159.6588,NO,-0.2354,-0.1936,-0.1743,-0.1908,-0.2197,-0.2299,-0.2322,-0.2014,0.0075,0.0059,0.0196,-0.01,-0.0013,0.003,-0.0058,-0.0006,0.0164,0.023,0.015,0.0074,0.0035,-0.0019,-0.007,0.0002,0.0053,0.0119,0.0054,0.0073,0.0115,0.0035
2000-09-06,54.1204,159.6588,O,,,-0.235,,-0.251,-0.251,-0.251,-0.251,-0.251,-0.251,-0.251,-0.1404,-0.0053,-0.1478,-0.0638,-0.0309,0.0088,0.0184,0.016,0.0245,0.0319,0.0376,0.0302,0.0227,0.0154,0.0145,0.0107,0.0077,0.0185,0.0186
2000-09-06,54.1204,159.6588,S,,,-0.141,,-0.07,-0.1202,,-0.0787,-0.0515,0.0295,-0.0027,-0.0098,-0.0315,-0.0211,-0.0188,0.0077,0.0035,0.0103,0.0132,0.0204,0.0103,-0.0089,0.0047,-0.0184,-0.0084,-0.0054,0.0047,-0.0008,0.0105,0.0088
2000-09-06,54.1204,159.6588,SE,-0.0526,-0.0621,0.0314,0.0385,0.0423,0.0016,-0.0353,-0.0333,-0.0221,-0.0045,0.0043,0.0085,0.032,0.0297,0.004,0.0032,0.0224,0.0098,-0.0002,-0.0117,-0.0141,-0.0176,-0.018,-0.0161,-0.0205,-0.0244,-0.0216,-0.0032,0.0104,0.0133
2000-09-06,54.1204,159.6588,SO,,,,,,,,,,,,,,,,,,,-0.0642,0.0336,0.0168,-0.037,-0.067,0.008,0.0146,0.0021,-0.0003,0.0228,0.0384,0.0458
2001-07-30,54.1199,159.6593,E,-0.1336,-0.1293,-0.1108,-0.1059,-0.0505,-0.0414,-0.0228,0.0085,0.0008,-0.011,0.0041,0.0141,0.0214,0.0108,0.0034,0.0063,0.0096,0.0162,0.0104,0.0403,0.0428,0.0132,0.001,0.0389,-0.0449,-0.0441,-0.0078,-0.0073,-0.0034,0.0051
2001-07-30,54.1199,159.6593,N,,-0.1935,-0.1925,-0.1935,-0.0391,0.1462,0.0458,0.0309,0.0337,0.0453,0.0313,0.0254,0.0101,0.0225,-0.0119,-0.0375,-0.0542,-0.0337,-0.0368,-0.0158,0.0037,0.0061,0.0119,0.0171,0.0257,0.013,0.009,0.0048,0.0213,
2001-07-30,54.1199,159.6593,NE,-0.0696,-0.067,-0.0631,-0.0114,0.0027,0.0476,0.0317,-0.0258,-0.0064,0.0121,0.0138,0.0208,-0.0006,-0.0083,0.0087,-0.0096,-0.0149,-0.0331,-0.0275,-0.0102,0.0182,-0.002,0.0285,0.0349,0.041,0.0358,0.0432,0.0404,0.0005,-0.0593
2001-07-30,54.1199,159.6593,NO,-0.203,-0.203,-0.203,-0.203,-0.203,-0.203,-0.203,-0.0193,0.0075,-0.0199,-0.0132,-0.0183,-0.0031,0.0242,0.0117,0.0276,0.0264,0.0215,0.0139,0.019,0.0142,0.0131,0.01,-0.0057,0.0051,-0.0082,-0.0096,0.0012,0.001,-0.0251
2001-07-30,54.1199,159.6593,O,,-0.1617,-0.1617,-0.1617,-0.1617,-0.1617,-0.1617,-0.1617,-0.0997,-0.0074,0.0002,-0.0002,0.0446,0.0513,0.0515,0.0589,0.055,0.079,0.0562,0.0218,0.0135,0.0093,0.0097,0.001,0.0022,-0.0152,-0.012,-0.0096,-0.0177,0.0026
2001-07-30,54.1199,159.6593,S,,,,,,,,,,-0.0888,-0.0888,-0.0504,-0.0551,-0.031,-0.0254,-0.013,0.0207,-0.004,-0.0114,0.0259,0.0141,0.0191,-0.0003,0.0132,-0.0092,-0.0046,-0.0012,0.005,-0.0,0.0159
2001-07-30,54.1199,159.6593,SE,,,-0.0936,-0.0986,-0.0369,-0.0181,-0.0173,-0.0451,-0.026,-0.021,-0.0029,0.0237,0.0357,0.039,0.0519,0.0301,0.0017,0.0006,0.0032,-0.0128,-0.0074,-0.0036,-0.004,-0.0146,-0.0238,-0.026,-0.0214,-0.0271,-0.0201,-0.0038
2001-07-30,54.1199,159.6593,SO,,,,,,,,,,,,,,,,,,,,,-0.0786,-0.0833,-0.0882,-0.0589,-0.0403,-0.0022,0.0302,0.0252,0.0308,0.0321
2001-08-08,54.1204,159.6588,E,,-0.1031,-0.0732,-0.0579,-0.0228,-0.0057,-0.0072,0.0022,0.0192,0.0345,0.037,0.0327,0.0248,0.0147,0.0292,0.0405,0.045,0.0294,0.0267,-0.0106,-0.0454,-0.0736,-0.0593,-0.0561,-0.0148,0.0065,0.0087,0.0165,0.0059,-0.0114
2001-08-08,54.1204,159.6588,N,,-0.2086,-0.2086,-0.1596,-0.0454,-0.0455,0.1125,-0.0258,0.0166,0.0169,0.0269,0.0153,0.0158,0.0021,1e-04,-0.0261,-0.059,-0.0597,-0.0543,-0.0284,-0.0145,0.0067,0.0155,0.0258,0.0222,0.0283,0.0194,0.0117,0.0096,0.0139
2001-08-08,54.1204,159.6588,NE,-0.0422,-0.0504,-0.0503,-0.0553,-0.0478,-0.0084,-0.0095,0.0324,-0.0178,-0.0069,-0.0157,-0.0092,-0.033,-0.0114,-0.0041,-0.0053,-0.0131,-0.0338,-0.0263,0.007,0.0063,0.024,0.0438,0.0653,0.0527,0.0371,0.0103,-0.0305,-0.0245,-0.0008
2001-08-08,54.1204,159.6588,NO,-0.2043,-0.1959,-0.1936,-0.2097,-0.2225,-0.2281,-0.2281,-0.2143,-0.007,-0.0068,0.0168,-0.0134,-0.0224,-0.0118,-0.0093,0.0009,0.0248,0.0349,0.0216,0.0189,0.0077,0.0156,0.0055,0.0099,0.0149,0.0126,-0.0046,-0.0016,-0.0036,0.0107
2001-08-08,54.1204,159.6588,O,,,-0.2324,-0.2368,-0.2368,-0.2368,-0.2368,-0.2368,-0.2368,-0.2368,-0.2368,-0.0744,1e-04,-0.0812,-0.0951,-0.0476,-0.0271,-0.0018,-0.0076,0.0008,0.0118,0.0213,0.0192,0.0124,0.0138,0.0103,0.0087,0.0186,0.0198,0.0297
2001-08-08,54.1204,159.6588,S,,,-0.1471,-0.1712,-0.0873,-0.1551,,-0.0792,-0.0381,0.0175,0.0172,0.0162,0.0003,-0.0023,-0.0124,0.0164,0.0182,0.0008,0.0151,0.0149,0.0137,-0.0048,-0.0013,-0.0235,-0.0176,-0.0116,-0.0078,-0.0034,0.0115,0.0092
2001-08-08,54.1204,159.6588,SE,-0.0921,-0.0865,-0.0055,-0.0056,0.0028,-0.0062,-0.0157,-0.0223,-0.0134,0.02,0.0332,0.0314,0.0438,0.0287,-0.0022,-0.0054,-0.0004,-0.0194,-0.0062,-0.0156,-0.0095,-0.0161,-0.0295,-0.0271,-0.0243,-0.0267,-0.0208,-0.0098,0.0067,0.0084
2001-08-08,54.1204,159.6588,SO,,,,,,,,,,,,,,,,,,-0.1479,-0.0402,-0.0581,0.0154,-0.0209,-0.0215,0.0076,0.0216,-0.0008,0.0026,0.0235,0.0284,0.0426
2002-06-24,54.1199,159.6593,E,-0.1178,-0.0938,-0.1017,-0.086,0.0002,0.0023,0.0194,0.0585,0.0588,0.0438,0.0261,0.022,0.0093,-0.0393,-0.0744,-0.0163,-0.0196,0.0152,0.0458,0.0406,0.0155,-0.0165,-0.0334,-0.0077,-0.0167,-0.0066,0.0009,0.0047,0.0084,0.0024
2002-06-24,54.1199,159.6593,N,,-0.1645,-0.1554,-0.1792,-0.0244,0.1846,0.0673,0.0544,0.0578,0.0554,0.0195,0.0088,-0.0098,0.0019,-0.0085,-0.0404,-0.0985,0.0199,0.0244,-0.0471,-0.035,-0.0159,0.0135,0.0416,0.0295,0.0242,0.0053,-0.0415,-0.0043,0.013
2002-06-24,54.1199,159.6593,NE,-0.0484,-0.0432,-0.0158,-0.011,0.0339,0.0475,0.0427,-0.0112,0.0223,0.0274,-0.0005,0.0122,0.0131,0.0302,0.0354,-0.0052,-0.012,-0.0241,-0.0521,-0.0104,-0.0023,-0.0142,0.0222,0.0359,0.0281,0.0308,0.0172,-0.0049,-0.0386,-0.0406
2002-06-24,54.1199,159.6593,NO,-0.2008,-0.209,-0.209,-0.209,-0.209,-0.2072,-0.0302,-0.0359,0.0163,-0.0378,-0.0464,-0.027,0.0223,0.0731,0.0833,0.0576,0.0412,0.04,0.0345,0.0236,0.006,-0.0266,-0.0412,-0.0323,0.0792,-0.0125,-0.011,0.0718,-0.0768,0.0165
2002-06-24,54.1199,159.6593,O,,-0.2445,-0.2445,-0.2445,-0.2445,-0.2445,,-0.2445,-0.164,-0.0101,-0.0397,-0.0742,-0.0206,-0.0034,0.0172,0.0218,-0.0055,-0.011,-0.008,-0.0081,-1e-04,0.0147,0.0242,0.0077,-0.0055,0.0154,-0.0003,0.0135,0.0309,0.02
2002-06-24,54.1199,159.6593,S,,,,,,,,,,-0.0918,-0.0918,-0.064,-0.0361,-0.0405,-0.0422,-0.0257,-0.0103,-0.0185,-0.0156,0.0086,0.0077,0.0328,0.0137,0.0115,0.0016,0.0087,0.0124,0.0176,0.0136,0.0077
2002-06-24,54.1199,159.6593,SE,,,-0.1187,-0.1187,-0.0309,0.0219,0.05,0.0157,-0.0057,-0.005,0.004,0.0281,0.0409,0.0437,0.0414,0.0151,-0.0073,-0.0024,0.0074,-0.0122,-0.004,-0.0088,-0.0189,-0.0295,-0.0283,-0.0201,-0.0206,-0.0313,-0.0371,-0.0133
2002-06-24,54.1199,159.6593,SO,,,,,,,,,,,,,,,,,-0.0116,0.0185,0.0054,-0.016,-0.0533,-0.0762,-0.0736,-0.0069,-0.0116,0.0021,0.029,0.0502,0.0552,0.0543
2004-10-03,54.1172,159.6551,E,,,,,,,,,,,,,-0.0022,0.0229,0.0093,-0.015,-0.0003,0.0173,0.0265,0.0196,0.0296,-0.0033,,,,,,-0.0244,-0.0253,-0.0209
2004-10-03,54.1172,159.6551,N,,,-0.0713,-0.0713,-0.0671,,-0.085,-0.085,-0.0627,0.0174,0.0164,-0.025,-0.0066,0.0055,0.0053,0.012,0.0162,0.0168,0.0072,-0.0071,-0.0113,-0.0022,-0.0033,-0.0027,-0.0048,0.0004,0.0104,0.0152,0.0204,0.0213
2004-10-03,54.1172,159.6551,NE,,,,,,,,,,,-0.0107,-0.0107,-0.0044,-0.0024,-0.0002,0.0049,0.006,0.0031,-0.0112,-0.0135,-0.0035,0.0093,0.0117,0.0125,0.0161,0.0131,0.0055,0.0,-0.0059,-0.0218
2004-10-03,54.1172,159.6551,NO,-0.0767,,,-0.0854,-0.0939,-0.0965,-0.0142,0.0034,0.0032,-0.0267,-0.0426,-0.0248,-0.0121,-0.004,0.0025,0.011,0.0074,0.0101,0.0107,0.0179,0.0243,0.0215,0.0278,0.0293,0.023,0.0053,0.003,-0.0085,-0.015,-0.0284
2004-10-03,54.1172,159.6551,O,,-0.0274,,,,0.0709,,,,,,,,,,0.0041,0.0089,0.01,-0.0122,0.0107,0.0283,-0.0002,0.0122,0.0003,-0.0029,0.0029,-0.0009,-0.0049,0.0015,0.0005
2004-10-03,54.1172,159.6551,S,,,,-0.0317,-0.0317,-0.036,-0.0382,-0.0403,-0.0497,-0.0319,0.0377,0.0404,0.0229,0.0066,0.018,-0.0113,-0.0142,-0.0138,-0.0162,-0.0074,0.0017,-0.0072,0.0075,-0.0075,0.0016,-0.0077,-0.004,0.0011,0.0038,0.0099
2004-10-03,54.1172,159.6551,SE,,,,,,,,,,0.0382,0.0382,0.0395,0.0314,0.0289,-0.0017,-0.0014,-0.0061,-0.0105,-0.005,-0.0066,-0.0068,-0.0051,-0.0056,-0.0077,-0.0052,-0.0041,-0.0085,-0.0079,-0.0028,-0.0011
2004-10-03,54.1172,159.6551,SO,-0.0376,,,,,,,,,,,,,,,-0.0011,0.0019,-0.0023,0.0016,-0.0008,-0.0061,-0.0078,-0.0047,-0.0033,0.0007,-0.0008,0.0003,-0.0019,-0.0022,-0.0031
2005-09-04,54.1193,159.6597,E,-0.0779,-0.0779,-0.0752,-0.0706,,,,,,,,,,,0.0119,0.0169,0.0202,0.0279,0.0168,0.023,0.0222,0.0163,0.0129,0.0055,-0.0133,-0.0044,-0.0371,-0.0321,-0.0066,0.0115
2005-09-04,54.1193,159.6597,N,,-0.1376,-0.1377,-0.1335,0.0446,0.0313,0.0125,0.0015,0.0043,-0.0256,-0.01,-0.0246,-0.0255,-0.0184,-0.0071,-0.0027,0.0152,0.0102,0.0229,0.012,0.0155,0.0086,0.0058,0.0065,0.0079,0.0183,0.0126,0.0054,-0.0006,-0.0167
2005-09-04,54.1193,159.6597,NE,-0.1231,-0.1254,-0.1278,-0.102,-0.1249,,,,,,,,,,-0.0125,-0.0403,-0.0219,-0.0217,-0.0144,-0.0119,-0.0107,-0.0003,0.0046,0.0121,0.0057,0.0106,0.0081,0.0032,0.0035,0.0024
2005-09-04,54.1193,159.6597,NO,-0.1521,-0.166,-0.1707,-0.1866,-0.1901,-0.0476,-0.0248,-0.0516,-0.025,-0.0245,-0.013,0.0334,0.0214,0.0043,-0.0011,0.0062,0.0015,-0.0116,-0.001,0.0011,0.0054,0.0074,0.0058,0.0089,0.008,0.0066,0.0026,0.0013,-0.0074,-0.0164
2005-09-04,54.1193,159.6597,O,,-0.1476,-0.1606,-0.1757,-0.184,-0.184,-0.1248,-0.0941,-0.024,-0.0625,-0.0125,0.0018,0.009,0.0135,0.0168,0.0188,0.0135,0.0133,0.0195,0.0036,0.0017,0.0054,-0.0139,,,,,,,-0.007
2005-09-04,54.1193,159.6597,S,,,,,,,,,,,,,-0.0141,,-0.0259,0.0118,-0.0147,-0.0142,0.0032,0.0033,0.0153,0.0216,0.0193,0.0105,-0.0018,-0.0113,-0.0155,-0.0036,-0.0045,-0.0015
2005-09-04,54.1193,159.6597,SE,-0.0456,,,,,,,,,,,-0.0176,0.0336,0.0248,0.0191,-0.0156,-0.0179,-0.0102,0.0645,0.0344,0.0046,-0.0037,-0.0075,-0.0034,-0.0045,-0.0065,-0.0047,-0.012,-0.0009,-0.0123
2005-09-04,54.1193,159.6597,SO,-0.014,,,,,,,,,,-0.055,-0.055,-0.055,-0.001,-0.0082,0.0214,-0.0007,0.0061,-0.0309,-0.0201,-0.0281,-0.023,0.0284,0.0356,0.0281,0.0374,0.0562,0.0304,0.0617,0.0616
2005-09-27,54.1191,159.6592,E,,,,,,,-0.0178,0.0053,-0.0144,-0.0023,,,,,,0.0049,0.0061,0.0062,0.004,-0.0086,0.0019,-0.0042,-0.0053,0.0051,0.0042,0.007,0.0233,0.0024,-0.0062,-0.0174
2005-09-27,54.1191,159.6592,N,,-0.1648,-0.1648,-0.1648,-0.1648,0.0011,0.0154,0.0052,-0.0171,-0.0293,-0.0305,-0.0184,-0.0225,-0.0104,-0.0099,-0.0112,-0.0126,-0.0045,-0.0097,-0.0071,0.0004,0.0101,0.0116,0.0128,0.0284,0.0359,0.0405,0.0181,0.0182,0.0069
2005-09-27,54.1191,159.6592,NE,,,,-0.0789,-0.0788,-0.0325,0.0234,-0.0307,0.0049,0.0024,0.0203,0.0269,0.0257,0.0276,0.0396,0.0427,-0.0332,-0.0078,-0.0091,-0.006,-0.0038,-0.0073,-0.0036,-0.01,-0.0033,-0.0049,-0.0021,-0.0082,-0.0023,0.0029
2005-09-27,54.1191,159.6592,NO,,,-0.1476,-0.1476,-0.1476,-0.0502,0.0152,-0.0295,-0.039,-0.0294,0.0003,0.0144,0.0187,0.0189,0.0194,0.0155,0.0113,0.0058,0.0064,0.0053,0.0047,0.0066,-0.0031,0.0,0.009,0.0179,0.0143,0.0061,-0.0075,-0.0169
2005-09-27,54.1191,159.6592,O,,,-0.1508,,-0.1508,-0.1508,-0.073,0.0092,0.0071,0.0056,-0.0018,0.0047,0.0057,0.0052,0.007,0.0069,0.0135,0.0097,0.0022,0.0106,0.0138,,,0.0185,0.0233,0.0189,0.0055,-0.003,-0.0008,0.0007
2005-09-27,54.1191,159.6592,S,,,,-0.0901,-0.0901,,,,-0.0901,,,,,,-0.0581,-0.0316,-0.0176,0.0177,0.0136,0.0247,0.0036,0.0147,0.006,-0.0099,-0.0052,-0.015,-0.0099,-0.0032,-0.0049,0.0009
2005-09-27,54.1191,159.6592,SE,,,,-0.0292,,,-0.0059,0.0293,0.033,,,-0.0113,0.0018,0.0079,0.0041,-0.0006,0.0051,-0.0053,-0.0089,0.0105,,,-0.0023,,-0.0101,,-0.0041,-0.0043,0.0074,-0.0089
2005-09-27,54.1191,159.6592,SO,,,,,,,,,,,,-0.1003,-0.0077,0.0236,0.0175,0.0144,0.0178,0.013,-0.0283,-0.1003,-0.0804,-0.0377,-0.0309,-0.0182,0.0048,0.0117,0.0185,0.0226,0.0298,0.0412
2006-08-06,54.1191,159.6597,E,,,-0.0185,-0.0185,-0.0185,-0.0185,-0.0185,-0.0132,-0.0215,-0.0161,0.0077,0.0168,0.0242,0.002,-0.0051,-0.0026,-0.0034,-0.0294,-0.0559,,,,,,,,,0.0496,-0.02,-0.0354
2006-08-06,54.1191,159.6597,N,,-0.2159,-0.2159,-0.2097,0.2218,0.1361,0.0275,0.0089,0.0149,-0.0199,0.0114,-0.0237,-0.0158,-0.016,-0.0168,-0.0261,-0.0132,0.0008,0.0194,0.0122,0.0241,0.036,0.027,0.0238,0.0201,0.0171,-0.0078,0.0004,0.0063,0.0011
2006-08-06,54.1191,159.6597,NE,-0.1371,-0.1371,-0.1371,-0.1371,-0.0672,0.0668,0.0776,0.046,0.0477,0.0446,0.0435,0.0424,0.0393,0.0337,0.0275,-0.0037,-0.0209,-0.0144,-0.0272,-0.0508,-0.0094,0.002,0.0102,0.0189,-0.0032,-0.0091,-0.0614,-0.0686,0.0906,0.0842
2006-08-06,54.1191,159.6597,NO,,,-0.1679,-0.1679,-0.0491,0.2471,0.0641,0.0263,0.0379,-0.0709,-0.0418,-0.0667,-0.0837,0.0335,-0.0266,0.0235,0.0277,0.0208,0.0316,0.0255,0.0008,0.0142,0.0342,0.03,0.0267,0.0177,0.0117,0.0071,-0.0164,-0.014
2006-08-06,54.1191,159.6597,O,,-0.2613,-0.2613,,,-0.2585,,,,,,,,,,,-0.0079,0.0155,0.0078,0.0087,0.0044,0.0043,0.0028,-0.0032,0.0055,0.003,0.0037,-0.0005,-0.0082,-0.014
2006-08-06,54.1191,159.6597,S,,,,,,,,,,,,,,,,,-0.101,-0.101,-0.0655,-0.0271,0.0149,0.0349,0.0253,-0.0128,-0.0103,-0.0076,-0.0035,0.012,0.0202,0.0293
2006-08-06,54.1191,159.6597,SE,,-0.0249,,,,-0.0249,-0.0249,-0.0249,-0.0249,-0.0123,0.0029,-0.0146,-0.008,-0.018,-0.002,-0.0061,0.0052,0.0167,0.0147,-0.0025,-0.013,-0.0138,-0.0126,-0.0137,-0.0126,-0.0095,-0.004,0.031,0.0142,0.0454
2006-08-06,54.1191,159.6597,SO,-0.154,,,,,,,,,,,,,,,,-0.005,0.0382,0.0201,-0.005,0.012,-0.0023,0.001,-0.0121,-0.0044,0.0008,-0.0036,-0.0043,0.0071,0.013
2006-09-07,54.1199,159.6593,E,,-0.0315,-0.0269,-0.0316,-0.0355,-0.0291,-0.0178,-0.0055,-0.001,0.0107,0.0154,0.0113,0.0075,0.0049,-0.0047,-0.0134,-0.0194,-0.0236,,,,,,,,,,,,
2006-09-07,54.1199,159.6593,N,,-0.1148,-0.1126,-0.1226,-0.0828,0.0053,-0.0128,-0.0157,-0.0156,-0.012,-0.0182,-0.0163,-0.0158,-0.0123,-0.0199,-0.0185,-0.0178,-0.0137,-0.0021,0.0024,0.018,0.0176,0.0224,0.021,0.0221,0.0178,0.0108,-0.0042,-0.0132,-0.0269
2006-09-07,54.1199,159.6593,NE,-0.032,-0.0296,-0.0178,-0.0232,-0.012,-0.0227,-0.0112,-0.0119,-0.0049,-0.0065,-0.0009,-0.0009,-0.0029,-0.0029,-0.0143,-0.0086,-0.0076,0.0075,0.0117,0.0136,0.0157,0.0135,0.0255,0.0347,,,,,-0.0394,-0.0089
2006-09-07,54.1199,159.6593,NO,-0.0892,-0.0892,-0.0945,-0.097,-0.1019,-0.1057,-0.1092,-0.0044,0.0101,-0.0039,-0.0062,-0.0139,-0.0204,-0.0164,-0.0045,0.0068,0.0052,0.0028,0.0042,0.0157,0.0219,0.0089,0.0092,0.0115,0.0038,0.0139,0.0141,0.0117,0.009,-0.0005
2006-09-07,54.1199,159.6593,O,,-0.111,-0.1438,,-0.126,-0.131,,,,,,,,,,,0.0292,-0.013,-0.007,-0.007,-0.008,-0.0114,-0.0019,-0.0049,-0.0046,-0.0094,-0.0048,-0.0059,-0.0004,-0.0045
2006-09-07,54.1199,159.6593,S,,,,,,,,,,,0.0299,0.0534,0.0476,0.0177,0.0115,0.001,0.0012,-0.0055,0.0029,0.0108,-0.004,-0.002,-0.0161,-0.007,-0.0117,-0.0013,0.0012,-0.0055,-0.0055,0.0019
2006-09-07,54.1199,159.6593,SE,,,-0.0213,-0.0545,-0.0115,-0.0137,-0.0199,-0.0167,-0.008,-0.0081,-0.0057,0.0105,0.0154,0.0201,0.0147,0.0112,0.0023,-0.0109,-0.0075,-0.0048,-0.0005,0.0026,0.0036,-0.0051,-0.0097,-0.008,-0.0085,-0.0098,-0.0134,-0.0099
2006-09-07,54.1199,159.6593,SO,,,,,,,,,,,,,,,,,,0.0078,0.0002,-0.0023,-0.0171,-0.0289,-0.0199,0.0046,0.0037,0.0125,0.0246,0.0244,0.0182,0.0116
2006-09-30,54.1193,159.6597,E,-0.0012,-0.0012,,,,,,,0.0023,-0.0117,0.0117,-0.0018,-0.0126,,,,,,,,0.0042,-0.0192,,-0.0246,-0.0005,,0.0287,-0.0037,0.0183,
2006-09-30,54.1193,159.6597,N,,-0.0322,-0.0322,-0.0368,0.1184,0.0993,-0.0136,-0.017,-0.0277,-0.0035,0.0023,-0.0331,-0.0267,-0.0196,-0.0149,-0.0096,0.0134,0.0155,0.0241,0.0182,0.0148,0.016,0.006,0.0057,0.0037,0.0142,0.0057,0.0024,0.0044,-0.004
2006-09-30,54.1193,159.6597,NE,0.0909,0.0909,0.0577,,,,,,,,0.009,0.0159,0.0072,-0.0103,-0.0075,-0.0066,-0.01,-0.0071,-0.0002,-0.0014,,,,,,0.0087,0.0151,,,
2006-09-30,54.1193,159.6597,NO,-0.0974,-0.0974,-0.1105,-0.1195,-0.1306,-0.0333,-0.0238,-0.0434,-0.0228,-0.0191,-0.0036,0.0124,0.0019,-0.002,0.0038,-0.0033,-0.0056,-0.0057,0.0013,0.0053,0.0026,0.0065,0.0042,0.0019,0.0032,-0.001,0.0002,-0.0071,-0.018,-0.0223
2006-09-30,54.1193,159.6597,O,,-0.1192,-0.1095,-0.1363,,-0.1363,-0.0112,-0.0018,-0.0533,-0.0521,-0.0164,-0.0118,-0.0083,-0.0141,-0.0032,0.0003,0.0048,0.0092,0.0057,0.0076,0.0081,0.0095,0.0112,0.0069,0.0109,-0.0009,-0.0153,-0.0134,-0.0209,-0.0258
2006-09-30,54.1193,159.6597,S,,,,,,,,,,,,,0.0426,,0.042,0.0583,0.0393,0.0216,0.0249,0.0195,0.0154,0.0149,-0.0024,-0.0028,-0.0072,-0.0162,-0.0157,-0.0121,-0.0066,-0.0142
2006-09-30,54.1193,159.6597,SE,-0.026,,,,,,,,,,,-0.0313,-0.031,0.0444,0.0643,0.0124,0.0288,0.0186,-0.0003,0.0044,-0.0014,-0.0085,0.0162,-0.0283,0.0181,-0.0104,-0.0037,-0.017,-0.0439,-0.0195
2006-09-30,54.1193,159.6597,SO,-0.0092,,,,,,,,,,,-0.0406,-0.0449,-0.0449,0.0019,0.0092,-0.0195,0.0014,0.0039,-0.0066,-0.0172,0.002,-0.0036,0.0044,-0.0021,0.0011,0.0042,0.006,0.0156,0.0137
2008-06-08,54.1191,159.6597,E,0.0034,,0.0034,0.0034,0.0205,,,,,,,,,,-1e-04,,,,0.0484,-0.0112,0.0301,0.0085,-0.0104,0.0388,0.0263,0.0025,-0.0522,-0.0028,0.006,0.0048
2008-06-08,54.1191,159.6597,N,,-0.1407,-0.1407,-0.1407,0.0115,0.0496,0.0361,0.0651,0.0658,0.054,-0.0464,-0.0332,-0.0208,-0.0279,-0.0352,-0.0389,-0.0772,-0.1009,-0.1047,,-0.063,0.0647,0.0107,0.1066,0.0609,-0.0659,,-0.1758,-0.0133,0.0837
2008-06-08,54.1191,159.6597,NE,-0.008,-0.008,-0.008,-0.008,-0.0054,,0.1178,,,,,,,,,-0.0314,0.0151,0.0075,-0.006,0.0615,0.0896,0.0507,-0.0528,-0.0375,-0.017,-0.0369,-0.002,-0.0458,-0.0731,
2008-06-08,54.1191,159.6597,NO,-0.2646,,-0.2646,,-0.2646,-0.1816,-0.1383,-0.0372,-0.0317,0.0226,0.0538,0.0801,0.0809,0.0913,0.0761,0.0198,0.0843,0.0735,0.0867,0.079,0.0758,-0.0271,-0.024,-0.0245,0.0527,0.0492,0.0939,-0.1266,-0.1119,-0.0129
2008-06-08,54.1191,159.6597,O,,-0.2036,,,,,0.0647,,-0.0843,0.0064,0.0338,0.0107,-0.0109,-0.0309,-0.0122,-0.0162,0.0027,0.0134,-0.0047,0.0055,-0.0909,,,,,,,,0.0551,0.029
2008-06-08,54.1191,159.6597,S,,,,,,,,,,,,,,,-0.1843,-0.0694,-0.0989,-0.0617,-0.0438,-0.006,-0.0047,0.0152,0.0214,0.0271,0.0192,-0.0193,-0.0026,0.015,0.021,0.0326
2008-06-08,54.1191,159.6597,SE,-0.1168,,,,,,,,,,,,-0.1028,-0.0729,-0.0463,-0.0149,0.0541,0.0538,0.0723,0.0775,-0.0079,-0.027,-0.004,0.0093,-0.016,-0.041,-0.0167,-0.0699,-0.029,-0.0219
2008-06-08,54.1191,159.6597,SO,-0.1585,,,,,,,,,,,,,,,0.0448,0.0089,0.0055,-0.0012,-0.0612,-0.1408,-0.0603,-0.0025,0.0185,0.0438,0.0566,0.086,0.0686,0.1357,0.1021
2009-07-13,54.1199,159.6547,E,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-13,54.1199,159.6547,N,,,,,,,,,,-0.0164,-0.0467,-0.0635,-0.0635,-0.0694,-0.0289,0.0306,0.0246,0.012,0.0107,0.0281,0.0143,0.0142,0.0074,0.0013,0.0006,-0.0226,-0.0205,0.0764,0.096,0.0787
